genes	IDTranscript/RepeatID (cmd=analyzeRepeats.pl /home/labs/amit/eyald/bin/data/chicken_galGal5/gg5.ens90.P2000M.gtf none -d MP_16_chicken_1A.M MP_17_chicken_2A.M MP_18_chicken_3A.M -count exons -condenseGenes -strand + -raw)	chr	start	end	strand	Length	Copies	Annotation/Divergence	MP_16_chicken_1A.M (2734712.0 total)	MP_17_chicken_2A.M (2690336.0 total)	MP_18_chicken_3A.M (3577958.0 total)
FER1L6	ENSGALT00000071928	chr2	138329643	138398940	+	5384.0	1	0.000	0.000	0.000	0.000
ENSGALG00000043151	ENSGALT00000067059	chrUn_NT_467586v1	1390	4591	+	2652.0	1	0.000	0.000	0.000	0.000
INHBA	ENSGALT00000076596	chr2	50747740	50760084	-	1685.0	1	0.000	13.000	20.000	42.000
ENSGALG00000014734	ENSGALT00000023759	chrZ	19094441	19204794	+	3916.0	1	0.000	5.000	13.000	19.000
gga-mir-6611	ENSGALT00000058151	chr9	12336436	12336545	-	109.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034200	ENSGALT00000051514	chrUn_NT_478363v1	21	1788	-	607.0	1	0.000	0.000	0.000	0.000
RNF168	ENSGALT00000010322	chr9	4703951	4713851	+	4630.0	1	0.000	45.000	41.000	44.000
ENSGALG00000021025	ENSGALT00000057231	chr20	10210849	10215330	+	1789.0	1	0.000	0.000	0.000	1.000
ENSGALG00000032727	ENSGALT00000077587	chr1_NT_457254v1_random	2368	6055	+	2729.0	1	0.000	0.000	0.000	0.000
RFXANK	ENSGALT00000066524	chr28	3581995	3587033	-	1324.0	1	0.000	76.000	75.000	105.000
ENSGALG00000045868	ENSGALT00000087350	chrUn_NT_464643v1	9096	13222	-	2352.0	1	0.000	0.000	0.000	0.000
ENSGALG00000042339	ENSGALT00000048044	chr1	174109556	174205670	+	461.0	1	0.000	0.000	0.000	0.000
MAPK1	ENSGALT00000002280	chr15	505903	531524	+	3092.0	1	0.000	39.000	36.000	79.000
ENSGALG00000037518	ENSGALT00000080878	chrUn_NT_466802v1	1735	8890	+	5342.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044492	ENSGALT00000084466	chr1	178714497	178716429	+	1220.0	1	0.000	1.000	6.000	6.000
PIGW	ENSGALT00000039163	chr19	8164860	8168541	+	3681.0	1	0.000	23.000	21.000	29.000
ENSGALG00000030771	ENSGALT00000060314	chr3	4085613	4087647	-	1282.0	1	0.000	0.000	0.000	0.000
HMGB3	ENSGALT00000086330	chr4	17716250	17721403	-	1950.0	1	0.000	43.000	41.000	55.000
Lpin2	ENSGALT00000049933	chr2	101279031	101315782	+	3925.0	1	0.000	56.000	52.000	69.000
ENSGALG00000031816	ENSGALT00000068609	chrUn_NT_464821v1	3383	4395	-	1012.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036299	ENSGALT00000067527	chrUn_NT_464373v1	4291	8761	-	3008.0	1	0.000	0.000	0.000	0.000
ENSGALG00000026316	ENSGALT00000045373	chr24	3783300	3785970	-	2257.0	1	0.000	12.000	17.000	15.000
ENSGALG00000046144	ENSGALT00000089673	chrUn_NT_473521v1	2018	4825	+	2717.0	1	0.000	0.000	0.000	0.000
PDIA5	ENSGALT00000019110	chr7	26975667	27067329	+	3830.0	1	0.000	91.000	96.000	127.000
SLC17A8	ENSGALT00000055202	chr1	47308619	47334316	+	1841.0	1	0.000	0.000	0.000	0.000
PIDD1	ENSGALT00000050736	chr5	15787966	15800805	+	2659.0	1	0.000	0.000	0.000	1.000
LCOR	ENSGALT00000012355	chr6	22435990	22485273	-	3639.0	1	0.000	28.000	32.000	52.000
ENSGALG00000038444	ENSGALT00000063868	chrUn_NT_467734v1	11	1142	-	929.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034647	ENSGALT00000075028	chrUn_NT_465625v1	9254	15903	-	2930.0	1	0.000	0.000	0.000	0.000
gga-mir-1721	ENSGALT00000042113	chr8	5004769	5006842	-	2073.0	1	0.000	0.000	0.000	0.000
snoMBII-202	ENSGALT00000042002	chr11	18978534	18978615	+	81.0	1	0.000	1.000	0.000	0.000
ENSGALG00000044235	ENSGALT00000087558	chr4	33261652	33262873	+	1218.0	1	0.000	0.000	0.000	0.000
ENSGALG00000003033	ENSGALT00000004800	chr18	5924877	5940217	+	1104.0	1	0.000	0.000	0.000	0.000
ENSGALG00000033993	ENSGALT00000068658	chr20	1361534	1368451	+	2435.0	1	0.000	113.000	92.000	129.000
ENSGALG00000044303	ENSGALT00000088193	chr1_NT_457035v1_random	304	3400	+	2642.0	1	0.000	0.000	0.000	0.000
ZNF366	ENSGALT00000024201	chrZ	25200049	25215586	+	4201.0	1	0.000	5.000	21.000	17.000
HPCAL1	ENSGALT00000064786	chr3	97161880	97200586	+	3452.0	1	0.000	328.000	376.000	470.000
SC5D	ENSGALT00000066639	chr24	3529094	3534293	-	2860.0	1	0.000	220.000	246.000	367.000
gga-mir-3536	ENSGALT00000042767	chr25	2139769	2141846	+	2077.0	1	0.000	0.000	0.000	2.000
SPI1	ENSGALT00000057017	chr5	22949194	22970222	+	1574.0	1	0.000	1223.000	985.000	1223.000
ENSGALG00000043612	ENSGALT00000057399	chr3_NT_459440v1_random	1632	7671	+	3135.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046540	ENSGALT00000083574	chrUn_NT_464280v1	1672	6628	+	4178.0	1	0.000	0.000	0.000	0.000
ENSGALG00000028681	ENSGALT00000044179	chr4	1276294	1278556	+	812.0	1	0.000	2.000	3.000	3.000
ENSGALG00000040652	ENSGALT00000049278	chrUn_NT_465445v1	11853	17463	-	3486.0	1	0.000	0.000	0.000	0.000
L3MBTL2	ENSGALT00000019537	chr1	49793237	49807832	-	2856.0	1	0.000	22.000	16.000	32.000
ENSGALG00000032641	ENSGALT00000082610	chrW_NT_463511v1_random	3875	14273	+	3282.0	1	0.000	0.000	0.000	0.000
ENSGALG00000016499	ENSGALT00000026616	chr3	104597130	104611882	-	2976.0	1	0.000	0.000	0.000	0.000
SDSL	ENSGALT00000013537	chr15	12646831	12649000	-	1314.0	1	0.000	2.000	1.000	0.000
PTPN11	ENSGALT00000007704	chr15	6441766	6465211	+	4109.0	1	0.000	40.000	36.000	46.000
ENSGALG00000017139	ENSGALT00000027684	chr1	179051034	179089385	-	2286.0	1	0.000	4.000	9.000	5.000
RP11-26J3.4	ENSGALT00000063918	chr2	121421939	121457302	-	1864.0	1	0.000	76.000	44.000	107.000
ENSGALG00000044064	ENSGALT00000088364	chrZ	24931072	24960046	-	1484.0	1	0.000	1.000	2.000	5.000
ENSGALG00000044301	ENSGALT00000089396	chr6_NT_460856v1_random	8361	10856	+	2387.0	1	0.000	0.000	0.000	0.000
OSTC	ENSGALT00000017138	chr4	37982967	37987615	-	1671.0	1	0.000	342.000	264.000	291.000
MZB1	ENSGALT00000086099	chr13	2436041	2437104	+	587.0	1	0.000	0.000	0.000	0.000
SKIV2L2	ENSGALT00000023719	chrZ	16760980	16807955	+	5684.0	1	0.000	27.000	34.000	50.000
ENSGALG00000045335	ENSGALT00000085450	chrW	3707063	3732799	+	3195.0	1	0.000	0.000	0.000	0.000
GLIPR2	ENSGALT00000043005	chr2	90052482	90077309	-	1809.0	1	0.000	8.000	1.000	6.000
DCLRE1B	ENSGALT00000045280	chr26	3770574	3773417	+	2632.0	1	0.000	6.000	16.000	12.000
ENSGALG00000044637	ENSGALT00000084196	chr19	4652711	4653211	-	390.0	1	0.000	0.000	0.000	0.000
DNAJC2	ENSGALT00000013428	chr1	12974973	12994206	-	3958.0	1	0.000	104.000	97.000	144.000
ENSGALG00000042239	ENSGALT00000050840	chrUn_NT_470054v1	3968	7020	-	3052.0	1	0.000	0.000	0.000	0.000
gga-mir-1434	ENSGALT00000074761	chr28	1453231	1453307	+	76.0	1	0.000	0.000	0.000	1.000
ENSGALG00000045800	ENSGALT00000085470	chrZ	75800670	75805527	+	705.0	1	0.000	0.000	0.000	0.000
MEOX1	ENSGALT00000001806	chr27	3530597	3538176	+	3928.0	1	0.000	0.000	0.000	0.000
MOCS3	ENSGALT00000012964	chr20	13599573	13603231	-	3658.0	1	0.000	52.000	38.000	50.000
ENSGALG00000026751	ENSGALT00000045432	chr7	16321999	16322095	+	96.0	1	0.000	0.000	0.000	0.000
ENSGALG00000033048	ENSGALT00000067772	chr1_NT_457311v1_random	602	6151	+	2327.0	1	0.000	0.000	0.000	0.000
RNF219	ENSGALT00000051081	chr1	153499674	153508156	+	450.0	1	0.000	30.000	72.000	45.000
ENSGALG00000045682	ENSGALT00000084668	chrZ	73497193	73506955	+	3178.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045245	ENSGALT00000084977	chrZ	73518270	73528014	+	3178.0	1	0.000	0.000	0.000	0.000
ENSGALG00000026448	ENSGALT00000049095	chr10	19753966	19758660	-	782.0	1	0.000	134.000	217.000	161.000
LCMT1	ENSGALT00000033712	chr14	6654600	6676267	+	4082.0	1	0.000	10.000	15.000	12.000
ENSGALG00000046177	ENSGALT00000090201	chr27	330430	331161	-	387.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036771	ENSGALT00000058592	chr33	785527	788793	-	2790.0	1	0.000	1.000	5.000	1.000
ENSGALG00000044380	ENSGALT00000086355	chrUn_NT_468314v1	466	4899	+	4051.0	1	0.000	0.000	0.000	0.000
ENSGALG00000039405	ENSGALT00000074823	chrUn_NT_464854v1	10318	17158	-	330.0	1	0.000	0.000	0.000	0.000
ENSGALG00000028015	ENSGALT00000044381	chr9	12963817	12974386	-	492.0	1	0.000	3.000	1.000	2.000
ENSGALG00000036993	ENSGALT00000089498	chr24	5232004	5234438	+	1324.0	1	0.000	59.000	56.000	59.000
ENSGALG00000035188	ENSGALT00000049626	chr2	75343174	75351854	-	620.0	1	0.000	0.000	0.000	1.000
SLC25A26	ENSGALT00000087976	chr12	14387927	14470541	+	3118.0	1	0.000	8.000	10.000	19.000
PLXND1	ENSGALT00000013808	chr12	19561059	19628722	-	9488.0	1	0.000	147.000	149.000	199.000
CX3CL1	ENSGALT00000043370	chr11	831860	838141	+	3490.0	1	0.000	0.000	0.000	0.000
OTUD7A	ENSGALT00000006032	chr10	5449521	5483094	+	2640.0	1	0.000	0.000	6.000	4.000
ENSGALG00000037927	ENSGALT00000069840	chr23_NT_463116v1_random	1969	3934	-	445.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044012	ENSGALT00000084897	chr3	105434639	105435216	+	366.0	1	0.000	0.000	0.000	0.000
TNNI2	ENSGALT00000010641	chr5	14092429	14098832	-	2846.0	1	0.000	3.000	4.000	9.000
SUN2	ENSGALT00000043362	chr1	50843549	50850761	+	4064.0	1	0.000	206.000	202.000	251.000
SPHK1	ENSGALT00000082303	chr18	4468026	4474748	-	3518.0	1	0.000	18.000	19.000	32.000
KIF1A	ENSGALT00000053794	chr9	4834319	4867054	-	7642.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044327	ENSGALT00000087027	chr4	86287591	86288761	-	723.0	1	0.000	0.000	0.000	0.000
NSUN6	ENSGALT00000013950	chr2	19122855	19142014	+	2100.0	1	0.000	21.000	19.000	29.000
ZNF512B	ENSGALT00000080129	chr20	9658584	9688331	+	4430.0	1	0.000	16.000	13.000	30.000
STK32B	ENSGALT00000064759	chr4	79500697	79646875	+	1246.0	1	0.000	0.000	0.000	0.000
ENSGALG00000033998	ENSGALT00000075113	chr11_NT_461883v1_random	6908	9514	+	2530.0	1	0.000	0.000	0.000	0.000
SNORA4	ENSGALT00000053980	chr9	16251838	16251967	+	129.0	1	0.000	2.000	3.000	1.000
PTDSS2	ENSGALT00000006852	chr5	1453084	1491017	-	3777.0	1	0.000	1.000	6.000	1.000
FBXO47	ENSGALT00000031344	chr27	4488929	4497739	-	3343.0	1	0.000	0.000	0.000	0.000
SBK1	ENSGALT00000022935	chr14	12993676	12997666	-	3183.0	1	0.000	3.000	0.000	0.000
ENSGALG00000007867	ENSGALT00000012774	chr11	1394031	1397976	-	1774.0	1	0.000	6.000	5.000	11.000
ENSGALG00000045995	ENSGALT00000056364	chr2	116930877	116951035	-	1595.0	1	0.000	6.000	6.000	11.000
ENSGALG00000029727	ENSGALT00000065865	chrUn_NT_472304v1	4032	6361	-	2138.0	1	0.000	0.000	0.000	0.000
PGS1	ENSGALT00000011630	chr18	9910347	9929719	-	5188.0	1	0.000	50.000	52.000	64.000
ENSGALG00000044374	ENSGALT00000090275	chr26_NT_463297v1_random	33	8993	+	2829.0	1	0.000	0.000	0.000	0.000
gga-let-7g	ENSGALT00000028969	chr12	2969911	2971993	-	2082.0	1	0.000	1.000	5.000	1.000
ENSGALG00000010315	ENSGALT00000016793	chr3	30944433	30952577	+	1795.0	1	0.000	0.000	1.000	3.000
MARCH3	ENSGALT00000043951	chrZ	56241246	56269145	-	3046.0	1	0.000	90.000	107.000	100.000
gga-mir-222a	ENSGALT00000045489	chr1	110650030	110650127	+	97.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046190	ENSGALT00000087199	chr2_NT_457918v1_random	3256	6151	-	1647.0	1	0.000	0.000	0.000	0.000
KCNK9	ENSGALT00000075688	chr2	145104627	145199529	-	3122.0	1	0.000	0.000	0.000	0.000
ENSGALG00000030427	ENSGALT00000047768	chr1_NT_456330v1_random	7189	13754	+	5174.0	1	0.000	0.000	0.000	0.000
POPDC2	ENSGALT00000030473	chr1	80157753	80167519	+	1895.0	1	0.000	6.000	6.000	4.000
TMEM27	ENSGALT00000043478	chr1	121910925	121929473	+	1019.0	1	0.000	0.000	0.000	0.000
ENSGALG00000001267	ENSGALT00000001934	chr28	2637819	2646108	+	1555.0	1	0.000	7.000	9.000	7.000
ENSGALG00000043227	ENSGALT00000066036	chr2	45207132	45211077	+	412.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046501	ENSGALT00000088886	chrW	683853	796668	+	3520.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045077	ENSGALT00000086011	chrUn_NT_464657v1	228	8574	+	6625.0	1	0.000	0.000	0.000	0.000
TIMMDC1	ENSGALT00000083950	chr1	92284081	92290383	-	1591.0	1	0.000	91.000	127.000	127.000
HMGN3	ENSGALT00000084887	chr3	79746421	79772440	+	2796.0	1	0.000	82.000	116.000	109.000
ENSGALG00000025881	ENSGALT00000044611	chr1	51576859	51603612	-	4148.0	1	0.000	55.000	40.000	46.000
ENSGALG00000038820	ENSGALT00000048999	chr2	2388401	2389615	+	373.0	1	0.000	133.000	141.000	167.000
PDGFRL	ENSGALT00000032107	chr4	63414982	63434513	-	1703.0	1	0.000	0.000	0.000	0.000
ENSGALG00000041190	ENSGALT00000078809	chrUn_NT_467027v1	3452	5410	-	496.0	1	0.000	0.000	0.000	0.000
ENSGALG00000031382	ENSGALT00000066358	chr9	20158624	20158875	-	251.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046571	ENSGALT00000089688	chr17_NT_462602v1_random	6052	9244	+	2415.0	1	0.000	0.000	0.000	0.000
DEGS1	ENSGALT00000015194	chr3	17618362	17622793	-	2088.0	1	0.000	237.000	204.000	269.000
ENSGALG00000043487	ENSGALT00000071617	chr20	9709223	9711144	+	424.0	1	0.000	3.000	6.000	3.000
ERLIN2	ENSGALT00000004888	chr22	2202505	2211560	+	1149.0	1	0.000	22.000	21.000	26.000
MYL3	ENSGALT00000084918	chr2	3456925	3493540	-	2936.0	1	0.000	0.000	0.000	0.000
ENSGALG00000038562	ENSGALT00000075270	chr12_NT_462071v1_random	7697	7787	+	90.0	1	0.000	0.000	0.000	0.000
DRC7	ENSGALT00000057657	chr11	555417	567680	-	2572.0	1	0.000	0.000	0.000	0.000
ENSGALG00000035293	ENSGALT00000073306	chr6	16986852	16993850	+	1568.0	1	0.000	3.000	1.000	4.000
ENSGALG00000042221	ENSGALT00000078468	chrUn_NT_472437v1	21	3497	+	3150.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036226	ENSGALT00000053288	chr1	118474222	118502752	+	2748.0	1	0.000	0.000	0.000	1.000
ENSGALG00000046608	ENSGALT00000085133	chr2_NT_457883v1_random	14235	17130	-	1647.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034903	ENSGALT00000062660	chr2	495212	499367	-	1506.0	1	0.000	1.000	1.000	7.000
ENSGALG00000030442	ENSGALT00000062388	chr2	67244699	67246641	+	1918.0	1	0.000	0.000	0.000	0.000
CCLi8	ENSGALT00000067279	chr19	4778024	4781242	-	2790.0	1	0.000	526.000	412.000	684.000
ENSGALG00000031418	ENSGALT00000058155	chrUn_NT_479473v1	21	3233	+	3084.0	1	0.000	0.000	0.000	0.000
HDC	ENSGALT00000038746	chr10	10876068	10887395	+	4209.0	1	0.000	0.000	3.000	3.000
ENSGALG00000030362	ENSGALT00000074051	chr20_NT_462948v1_random	10828	12914	+	2086.0	1	0.000	0.000	0.000	0.000
ENSGALG00000016692	ENSGALT00000036701	chr3	109266889	109273908	-	2000.0	1	0.000	3.000	2.000	3.000
GDNF	ENSGALT00000005897	chrZ	11724943	11742980	-	2654.0	1	0.000	0.000	1.000	0.000
ORMDL1	ENSGALT00000057898	chr7	299866	305868	+	1070.0	1	0.000	9.000	19.000	23.000
ENSGALG00000042346	ENSGALT00000058600	chr2_NT_457965v1_random	5043	7711	+	2413.0	1	0.000	0.000	0.000	0.000
ENSGALG00000006152	ENSGALT00000072824	chr20	9988019	9990031	-	1100.0	1	0.000	5.000	2.000	12.000
EFL1	ENSGALT00000038669	chr10	11665567	11721616	+	3801.0	1	0.000	70.000	66.000	67.000
ENSGALG00000043248	ENSGALT00000050400	chr2_NT_458801v1_random	1038	1143	+	105.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044186	ENSGALT00000088847	chr17	1702432	1702907	-	300.0	1	0.000	0.000	0.000	0.000
ADI1	ENSGALT00000043545	chr3	94071549	94080731	-	4227.0	1	0.000	37.000	34.000	58.000
ENSGALG00000033801	ENSGALT00000063778	chrUn_NT_471235v1	3325	6778	-	2956.0	1	0.000	0.000	0.000	0.000
NRSN2	ENSGALT00000087636	chr20	10164408	10170608	-	2635.0	1	0.000	0.000	0.000	0.000
GLI1	ENSGALT00000078277	chr33_NT_463454v1_random	67694	77272	-	5896.0	1	0.000	0.000	0.000	0.000
FKBP12	ENSGALT00000043160	chr20	10023247	10031218	+	1449.0	1	0.000	470.000	482.000	781.000
LRP1B	ENSGALT00000079809	chr7	32133468	32445946	-	8411.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032472	ENSGALT00000049243	chrUn_NT_467741v1	69	13284	+	4779.0	1	0.000	0.000	0.000	0.000
GDE1	ENSGALT00000077242	chr14	8565689	8571107	-	2581.0	1	0.000	69.000	62.000	72.000
CAPN7	ENSGALT00000079197	chr2	41636922	41662196	-	2401.0	1	0.000	6.000	3.000	6.000
ENSGALG00000038159	ENSGALT00000075711	chrUn_NT_464945v1	7691	8376	-	413.0	1	0.000	0.000	0.000	0.000
ENSGALG00000040033	ENSGALT00000081219	chrUn_NT_465047v1	14253	16329	-	2076.0	1	0.000	0.000	0.000	0.000
ENSGALG00000042353	ENSGALT00000062872	chr1_NT_457254v1_random	21	2210	-	1402.0	1	0.000	0.000	0.000	0.000
WDR78	ENSGALT00000088466	chr8	28667035	28683746	-	4292.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045223	ENSGALT00000087880	chr6	11056875	11057906	-	1031.0	1	0.000	0.000	0.000	0.000
MAL2	ENSGALT00000051755	chr2	136508343	136520068	+	2402.0	1	0.000	0.000	0.000	0.000
FANCL	ENSGALT00000087145	chr3	923794	954267	-	3647.0	1	0.000	2.000	7.000	4.000
ENSGALG00000044060	ENSGALT00000075834	chrUn_NT_465938v1	6565	9712	-	3125.0	1	0.000	0.000	0.000	0.000
MPP2	ENSGALT00000074108	chr27	5613996	5621784	-	3660.0	1	0.000	8.000	12.000	14.000
ENSGALG00000045152	ENSGALT00000083387	chr1_NT_456179v1_random	6820	9654	+	2577.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032879	ENSGALT00000053858	chrUn_NT_469848v1	623	5037	+	2594.0	1	0.000	0.000	0.000	0.000
JPH3	ENSGALT00000072180	chr11	18097779	18140763	+	4268.0	1	0.000	0.000	0.000	3.000
ENSGALG00000033409	ENSGALT00000079526	chrUn_NT_475839v1	-1979	3567	-	4204.0	1	0.000	0.000	0.000	0.000
ENSGALG00000040711	ENSGALT00000074533	chrW_NT_463473v1_random	20401	24210	+	2567.0	1	0.000	0.000	0.000	0.000
ENSGALG00000040763	ENSGALT00000081543	chr4_NT_459835v1_random	4674	8544	-	853.0	1	0.000	0.000	0.000	0.000
CD86	ENSGALT00000037176	chr1	76641354	76652029	+	1447.0	1	0.000	22.000	24.000	29.000
LMO2	ENSGALT00000067141	chr5	18399703	18408406	-	3361.0	1	0.000	59.000	63.000	86.000
KANSL1	ENSGALT00000078334	chr27	3062203	3124696	+	6097.0	1	0.000	210.000	201.000	238.000
SH3KBP1	ENSGALT00000026488	chr1	119981518	120205381	+	4944.0	1	0.000	905.000	933.000	1110.000
ENSGALG00000044959	ENSGALT00000087052	chr1	59249433	59250440	+	1007.0	1	0.000	0.000	0.000	0.000
CMTM3	ENSGALT00000039221	chr11	11584764	11595248	-	2348.0	1	0.000	202.000	179.000	243.000
PCNX1	ENSGALT00000000388	chr5	27199732	27283175	-	8862.0	1	0.000	200.000	142.000	242.000
ENSGALG00000038334	ENSGALT00000047069	chrUn_NT_464571v1	1238	4338	+	3064.0	1	0.000	0.000	0.000	0.000
ENSGALG00000039437	ENSGALT00000075266	chrZ	44320713	44321932	+	515.0	1	0.000	0.000	0.000	0.000
ENSGALG00000042654	ENSGALT00000051018	chrUn_NT_471148v1	2394	3500	-	878.0	1	0.000	0.000	0.000	0.000
ENSGALG00000031547	ENSGALT00000064959	chr2	70841747	71110837	-	553.0	1	0.000	9.000	15.000	13.000
ENSGALG00000044261	ENSGALT00000088633	chr2	80203990	80222536	+	785.0	1	0.000	0.000	0.000	0.000
SNORD69	ENSGALT00000042516	chr12	783184	785262	+	2078.0	1	0.000	13.000	13.000	25.000
ENSGALG00000045610	ENSGALT00000089029	chrUn_NT_467852v1	11063	14202	+	3031.0	1	0.000	0.000	0.000	0.000
TMX3	ENSGALT00000022349	chr2	94550577	94576769	+	4196.0	1	0.000	59.000	65.000	82.000
ENSGALG00000045685	ENSGALT00000086478	chrZ	65314870	65315941	-	903.0	1	0.000	0.000	0.000	0.000
SPON1	ENSGALT00000052766	chr5	6394873	6557255	-	5203.0	1	0.000	1.000	0.000	1.000
ENSGALG00000043928	ENSGALT00000090049	chr28	867852	869483	-	1631.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046491	ENSGALT00000085382	chr16_NT_462548v1_random	120921	125343	-	2747.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046100	ENSGALT00000086609	chrZ	78030696	78033375	+	493.0	1	0.000	0.000	0.000	0.000
ENSGALG00000038040	ENSGALT00000062201	chrUn_NT_474389v1	574	3134	-	627.0	1	0.000	0.000	0.000	0.000
CHIR-AB1	ENSGALT00000052835	chrUn_NT_465116v1	11338	15950	-	3193.0	1	0.000	0.000	0.000	0.000
ENSGALG00000039919	ENSGALT00000056412	chrUn_NT_464376v1	9710	12247	-	1007.0	1	0.000	0.000	0.000	0.000
ENSGALG00000029543	ENSGALT00000081172	chrUn_NT_477403v1	21	4456	+	2347.0	1	0.000	0.000	0.000	0.000
TRAPPC6B	ENSGALT00000016512	chr5	37640358	37646177	-	3062.0	1	0.000	83.000	70.000	75.000
GYS2	ENSGALT00000021664	chr1	67102124	67141501	+	2079.0	1	0.000	0.000	0.000	0.000
ENSGALG00000031245	ENSGALT00000080390	chrUn_NT_471412v1	-1621	587	-	2126.0	1	0.000	0.000	0.000	0.000
gga-mir-383	ENSGALT00000035274	chr4	64399452	64399524	+	72.0	1	0.000	0.000	0.000	0.000
TWF1	ENSGALT00000074174	chr1	30082534	30100993	-	4021.0	1	0.000	17.000	14.000	20.000
ENSGALG00000043687	ENSGALT00000053549	chr1_NT_456745v1_random	11	4594	-	1374.0	1	0.000	0.000	0.000	0.000
MARS	ENSGALT00000082408	chrUn_NT_464201v1	9496	17503	-	4637.0	1	0.000	0.000	0.000	0.000
PAPSS2	ENSGALT00000071572	chr6	9641792	9663329	-	3807.0	1	0.000	2.000	2.000	5.000
ENSGALG00000031581	ENSGALT00000064289	chrUn_NT_464347v1	78	2332	+	2254.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044434	ENSGALT00000085783	chrLGE64	229570	235016	+	1190.0	1	0.000	0.000	0.000	0.000
ULK3	ENSGALT00000067442	chr10	2344374	2351530	+	4240.0	1	0.000	101.000	130.000	116.000
SLC26A6	ENSGALT00000044667	chr12	9052952	9060711	+	4541.0	1	0.000	2.000	3.000	2.000
ENSGALG00000001206	ENSGALT00000001825	chr13	8366752	8370140	-	963.0	1	0.000	0.000	0.000	0.000
ENSGALG00000035781	ENSGALT00000068226	chr3	68179669	68180557	+	512.0	1	0.000	0.000	0.000	0.000
ENSGALG00000025872	ENSGALT00000043038	chr20	6854670	6860316	+	814.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044426	ENSGALT00000085726	chr4	86344809	86345772	-	489.0	1	0.000	0.000	0.000	0.000
RPH3AL	ENSGALT00000066208	chr19	7009557	7028631	+	3080.0	1	0.000	0.000	0.000	0.000
ENSGALG00000008355	ENSGALT00000052119	chr7	11502466	11508768	+	2124.0	1	0.000	77.000	73.000	106.000
ABHD18	ENSGALT00000089384	chr4	34630992	34653703	+	4382.0	1	0.000	38.000	31.000	54.000
MPP3	ENSGALT00000074146	chr27	3468036	3483568	+	3815.0	1	0.000	13.000	7.000	11.000
DYNC1I2	ENSGALT00000059158	chr7	18045605	18071958	-	4580.0	1	0.000	144.000	169.000	197.000
NIPAL2	ENSGALT00000048428	chr2	128127251	128157395	-	1053.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046527	ENSGALT00000087411	chrZ	77032425	77034334	-	594.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036783	ENSGALT00000068643	chr8	4275996	4289784	+	3303.0	1	0.000	22.000	19.000	20.000
PLCD4	ENSGALT00000047820	chr7	22605784	22613268	-	4358.0	1	0.000	0.000	2.000	1.000
CMTR1	ENSGALT00000016499	chr3	30244395	30267117	-	3417.0	1	0.000	3.000	7.000	1.000
ENSGALG00000003435	ENSGALT00000005443	chr26	4946918	4950939	-	1498.0	1	0.000	8.000	5.000	7.000
ENSGALG00000031780	ENSGALT00000069497	chr8	11023066	11024692	-	1419.0	1	0.000	0.000	1.000	1.000
ENSGALG00000042590	ENSGALT00000051106	chrUn_NT_472440v1	2934	8546	+	5147.0	1	0.000	0.000	0.000	0.000
Lrrn1	ENSGALT00000066744	chr12	18314289	18333017	+	4912.0	1	0.000	2.000	5.000	4.000
AP1S2	ENSGALT00000026710	chr1	121850197	121884181	+	2554.0	1	0.000	918.000	861.000	1119.000
ENSGALG00000045703	ENSGALT00000085085	chrZ	74854533	74855450	+	295.0	1	0.000	0.000	0.000	0.000
GAS2L3	ENSGALT00000044088	chr1	47393195	47409557	+	4867.0	1	0.000	4.000	3.000	10.000
ENSGALG00000035760	ENSGALT00000052231	chrUn_NT_464587v1	21	6578	+	3247.0	1	0.000	0.000	0.000	0.000
SLC6A20	ENSGALT00000050951	chr2	42970198	42981414	+	1923.0	1	0.000	0.000	0.000	0.000
XPO4	ENSGALT00000027676	chr1	178738998	178807266	+	4056.0	1	0.000	28.000	21.000	37.000
gga-mir-1610	ENSGALT00000042493	chr8	11705532	11705619	-	87.0	1	0.000	0.000	0.000	4.000
gga-mir-6578	ENSGALT00000044781	chr3	105429051	105429152	+	101.0	1	0.000	0.000	0.000	1.000
